invoice_number,customer_id,invoice_date,po_reference,item_sku,item_description,unit_price,quantity,line_total,ship_city,ship_state
INV-2023-0801,CUST-1001,2023-08-15,PO-2023-0701,AW-STL-16F,Steel Wheel 16in Fleet Utility,48.50,200,9700.00,Detroit,MI
INV-2023-0801,CUST-1001,2023-08-15,PO-2023-0701,AW-ALY-17S,Alloy Wheel 17in Mid SUV Silver,74.75,120,8970.00,Detroit,MI
INV-2023-0801,CUST-1001,2023-08-15,PO-2023-0701,AW-STL-15C,Steel Wheel 15in Compact Black,38.90,80,3112.00,Detroit,MI
INV-2023-0801,CUST-1001,2023-08-15,PO-2023-0701,AW-ALY-18H,Alloy Wheel 18in 4x4 Gunmetal,92.00,60,5520.00,Detroit,MI
INV-2023-0801,CUST-1001,2023-08-15,PO-2023-0701,LUG-M14,Lug Nut M14x1.5 Conical Chrome Steel,1.10,2000,2200.00,Detroit,MI
INV-2023-0802,CUST-1001,2023-08-15,PO-2023-0701,CAP-UNIV,Wheel Center Cap Universal ABS,3.25,460,1495.00,Detroit,MI
INV-2024-0311,CUST-1001,2024-03-10,PO-2024-0311,AW-STL-16F,Steel Wheel 16in Fleet Utility,48.50,200,9700.00,Detroit,MI
INV-2024-0311,CUST-1001,2024-03-10,PO-2024-0311,AW-ALY-17S,Alloy Wheel 17in Mid SUV Silver,74.75,120,8970.00,Detroit,MI
INV-2024-0311,CUST-1001,2024-03-10,PO-2024-0311,AW-STL-15C,Steel Wheel 15in Compact Black,38.90,80,3112.00,Detroit,MI
INV-2024-0311,CUST-1001,2024-03-10,PO-2024-0311,AW-ALY-18H,Alloy Wheel 18in 4x4 Gunmetal,92.00,60,5520.00,Detroit,MI
INV-2024-0311,CUST-1001,2024-03-10,PO-2024-0311,LUG-M14,Lug Nut M14x1.5 Conical Chrome Steel,1.10,2000,2200.00,Detroit,MI
INV-2024-0312,CUST-1001,2024-03-10,PO-2024-0312,AW-STL-16F,Steel Wheel 16in Fleet Utility,48.50,150,7275.00,Chicago,IL
INV-2024-0312,CUST-1001,2024-03-10,PO-2024-0312,AW-ALY-18H,Alloy Wheel 18in 4x4 Gunmetal,92.00,80,7360.00,Chicago,IL
INV-2024-0312,CUST-1001,2024-03-10,PO-2024-0312,LUG-M14,Lug Nut M14x1.5 Conical Chrome Steel,1.10,1500,1650.00,Chicago,IL
INV-2023-0901,CUST-2001,2023-09-20,PO-2023-0801,CF-E8S1,Electric Fryer 8L Single Tank Countertop,285.00,10,2850.00,Atlanta,GA
INV-2023-0901,CUST-2001,2023-09-20,PO-2023-0801,CF-E8D2,Electric Fryer 8L Double Tank Countertop,495.00,8,3960.00,Atlanta,GA
INV-2023-0901,CUST-2001,2023-09-20,PO-2023-0801,CF-G18F,Gas Fryer 18L Floor Standing,720.00,5,3600.00,Atlanta,GA
INV-2023-0901,CUST-2001,2023-09-20,PO-2023-0801,CF-G22P,Pressure Fryer 22L Gas Floor,1450.00,3,4350.00,Atlanta,GA
INV-2023-0902,CUST-2001,2023-09-20,PO-2023-0801,BSK-8SM,Fryer Basket Small Stainless Steel,12.50,40,500.00,Atlanta,GA
INV-2023-0902,CUST-2001,2023-09-20,PO-2023-0801,BSK-18LG,Fryer Basket Large Stainless Steel,18.75,20,375.00,Atlanta,GA
INV-2023-0902,CUST-2001,2023-09-20,PO-2023-0801,OIL-FILT,Oil Filtration Machine Portable,340.00,4,1360.00,Atlanta,GA
INV-2024-0422,CUST-2001,2024-03-15,PO-2024-0422,CF-E8S1,Electric Fryer 8L Single Tank Countertop,285.00,10,2850.00,Atlanta,GA
INV-2024-0422,CUST-2001,2024-03-15,PO-2024-0422,CF-E8D2,Electric Fryer 8L Double Tank Countertop,495.00,8,3960.00,Atlanta,GA
INV-2024-0422,CUST-2001,2024-03-15,PO-2024-0422,CF-G18F,Gas Fryer 18L Floor Standing,720.00,5,3600.00,Atlanta,GA
INV-2024-0422,CUST-2001,2024-03-15,PO-2024-0422,CF-G22P,Pressure Fryer 22L Gas Floor,1450.00,3,4350.00,Atlanta,GA
INV-2024-0423,CUST-2001,2024-03-15,PO-2024-0423,CF-E8S1,Electric Fryer 8L Single Tank Countertop,285.00,6,1710.00,Chicago,IL
INV-2024-0423,CUST-2001,2024-03-15,PO-2024-0423,CF-G18F,Gas Fryer 18L Floor Standing,720.00,4,2880.00,Chicago,IL
INV-2024-0423,CUST-2001,2024-03-15,PO-2024-0423,OIL-FILT,Oil Filtration Machine Portable,340.00,4,1360.00,Chicago,IL
